timestamp_utc,phase,repository,term,normalized_term,reason,closest_candidate,why_failed
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/millennium-navier-stokes-I,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/millennium-navier-stokes-classical,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/Millennium,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/navier-stokes-critical-L3,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/navier-stokes-noncircular,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/navier-stokes-critical-barrier-audit,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/hawking-ns,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/hawking-singularities-millennium-problems,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/millennium-regularity-I,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/millennium-poincare-classical,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/millennium-poincare-symbolic,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/Millenium-delta-unified-frame,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/Lunar-Hive,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/Lunar-Hive-00,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/tiago-fagliari-creative-technical-portfolio,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,ShantiDraconis/Beit-Hamikdash-iii,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,repository_reconciliation,openai/NavierStokesAndEuler,repo_access,repo_access,AUTHORIZATION_MISSING,N/A,HTTP_403
2026-09-11T14:10:37Z,zenodo,zenodo:14934901,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:14948466,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:14950453,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:14977667,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:15040732,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:15080581,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:15170089,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:15172871,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
2026-09-11T14:10:37Z,zenodo,zenodo:15220150,record_lookup,record_lookup,FETCH_ERROR,N/A,URLError
