zenodo_id,doi,candidate_repository,candidate_commit_sha,crosswalk_status
14934901,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
14948466,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
14950453,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
14977667,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
15040732,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
15080581,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
15170089,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
15172871,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
15220150,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
15220186,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
15220196,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
15220224,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
15768350,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
16399978,,UNKNOWN,UNKNOWN,PENDING_MANUAL_FORENSICS
