origin	48259a1f1e3e398376c86b20bfc158cbc3355cc5
audit/closure-target-tree-v56	02ab6d9042d23bff7c6a21d1d4ee0e0db1aa4b75
audit/correct-provenance-attribution-20260912	0ef40f256e40c0959681dbd7579b818520bbe6f2
audit/final-two-stage-review-nsb2-20260912	5f7e4dad066fbe2f2bfffd32063a1b06e6b7278c
audit/g1-beta-multiprover-20260913	0bcfd41ccff993b85f1d46158c1916cb10ea9f93
audit/g1-dynamic-q-20260913	feee79e5b7bee2f27a1bf44bc22f9d05b9364a9d
audit/g1-prize-standard-v4-20260913	61c11fccf0c2cae0233ad0b001d182e9623f4f48
audit/millennium-multiprover-structure-20260913	c636c4b4e202e2a2337b95b21c3dc7a40d035270
copilot/add-lre-ns-framework	cd0446180e0c76c5695b02ea2eca16f2cc6ec0f0
copilot/audit-search-terms	48b6d6d05576a78f01178844ccd71a71fb824e13
copilot/claim-navier-stokes-git-evidence	d0a15924732ef7782fc8444c63a8ac29c27188c4
copilot/compare-mathematical-formulas	1673a3ebe8930aabf691c703e8283d3295734f14
copilot/execute-multi-agent-audit	e4938615dc440f157da1aba73c867b97052422fd
copilot/fix-doc-date-error	a375c04b6b5a26bad73d4c3f9cad178de3f73739
copilot/navier-stokes-critical-barrier-audit	0687fad11011a735cc3bd0bb5ae2f38d7e2a09a5
copilot/navier-stokes-noncircular-implementation	0840b46215d5d81385c257bc5df04ffa500fb335
copilot/registro-git-navier-stokes	15eea35ca8a79d4a9176f671e6dd994110af74bf
copilot/revendo-arquivos-auditoria	7386a2f94852e4be345ca9d9db8265d0d61e5a44
copilot/shanti-0-0-default-history	8cf0b598284e957f7baa7239b9810bb9bb58cab8
copilot/shanti-auditoria-ns	dbecca313806ec7611ed57bc8821ab889809a906
copilot/target-extractor	fc3fbd2bc23f89ec47f416a5ad0a9fad8939d592
copilot/task-219265797-1361927617-c6bfd6e0-3c0d-429b-a267-9cea34423468	e35f74d10ba4eb9f6bda3da3d3d0fbdac832f822
copilot/update-reference-section	ab04ad5d580fa1512c0e55838027596679f26c17
main	48259a1f1e3e398376c86b20bfc158cbc3355cc5
